Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,174814.65884594174,67885.0,127597.35799869656,13514.789191357097,29153.93292224395,84928.73615079962,42668.62184789693,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,529.0845816413496,27.50254328,100.0,64.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,
2012-04-01,174863.38360069192,61777.0,127697.74831607654,13541.178512540104,29177.664737414834,84979.0052003017,42718.74311577514,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,529.1051666232752,27.65208099,100.0,63.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,
2012-05-01,175338.06497316697,51776.0,128109.19027474288,13600.549017249132,29272.468606104318,85236.27289799576,42872.91737674679,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,530.4110832648314,27.8011461,100.0,63.7,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,
2012-06-01,175704.4852764182,48641.0,128441.63724624892,13651.558613495949,29349.22370215839,85440.95522747333,43000.68201877558,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,531.3857281553398,27.94973858,100.0,63.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,
2012-07-01,175766.9941848807,50354.0,128663.38312946964,13690.80442483788,29400.683443620117,85571.99552168969,43091.38760778023,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,531.7236428714658,27.91832989,100.0,63.3,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,
2012-08-01,175304.12190856857,46924.0,128499.8917478561,13688.999916729152,29364.110250645317,85446.88150553755,43053.01024231826,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,530.4671836122908,27.88687718,100.0,63.1,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,
2012-09-01,174898.33530917822,43535.0,128377.1256936212,13691.434463383775,29336.83838253021,85348.95247013819,43028.173223483,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,529.3781011964654,27.85538044,100.0,63.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,
2012-10-01,173647.4732726114,44488.0,128262.74455271113,13694.670414626278,29311.477960871594,85256.69550476602,43006.0490479454,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,525.8862660786475,27.84752409,100.0,62.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,
2012-11-01,173031.17348679842,49906.0,128615.22494674136,13747.718063659018,29392.80614391685,85474.80013385156,43140.42481288951,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,524.2984615690445,27.83759482,100.0,62.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
2012-12-01,172324.91326434244,56670.0,128901.51402185042,13793.703339198551,29459.008082073306,85648.90201107433,43252.612010776094,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,522.4212554551509,27.82559263,100.0,62.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
2013-01-01,173167.703506735,62359.0,128979.87835732782,13852.621535184797,29472.85694914354,85654.48255562056,43325.387533445086,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,524.8593088394337,28.05416584,99.337,62.1,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,
2013-02-01,173706.2227318864,58120.0,128834.6712009174,13887.246760778698,29435.64066062982,85511.84968431601,43322.80504039968,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,526.3864014986752,28.28353008,99.337,62.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.15,,,,,,
2013-03-01,175106.65887966106,54242.0,129330.00405848172,13990.799124951744,29544.781881353752,85794.4725458559,43535.50676578601,143316.0,135689.0,101.9487188,101.085,101.023,0.08,0.11,0.15,0.82,1.96,3.16,530.5362577828812,28.51368537,99.337,61.8,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.975417,0.14,,,,,,
2013-04-01,175606.30976911256,49186.0,129757.1921065145,14087.08458815452,29638.34733449565,86031.79320547363,43725.36587943146,143635.0,135876.0,101.735852,101.163,100.944,0.05,0.09,0.12,0.71,1.76,2.93,533.4476373038516,28.60897091,99.337,61.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7559263,0.15,,,,,,
2013-05-01,175853.94185394215,44705.0,129998.1684981685,14163.16041316038,29689.37893937897,86145.64564564568,43852.48160248163,143882.0,136091.0,101.7779865,101.272,101.01,0.02,0.08,0.12,0.84,1.93,3.11,535.5963945153945,28.70435536,99.337,61.6,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7998244,0.11,,,,,,
2013-06-01,175836.8238036907,42606.0,130043.26866084486,14217.755956849884,29695.686964081087,86129.82573991387,43913.39352748252,143999.0,136269.0,102.0202597,101.438,101.228,0.03,0.09,0.14,1.2,2.3,3.4,536.9376547002806,28.79983872,99.337,61.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.0193152,0.09,,,,,,
2013-07-01,176398.66211496343,44555.0,130206.25727647652,14285.071794568246,29728.928639553746,86192.24039833978,44013.95932408519,144264.0,136391.0,102.2199594,101.567,101.354,0.02,0.07,0.12,1.4,2.58,3.61,538.5260608362769,28.97120842,99.337,61.5,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.09,,,,,,
2013-08-01,176906.8072111122,41063.0,130330.31228450396,14347.97885265816,29753.291958099395,86229.00863625917,44101.23797327031,144326.0,136635.0,102.4639882,101.685,101.51,0.04,0.07,0.13,1.52,2.74,3.76,539.951753620333,29.14264403,99.337,61.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.5021949,0.08,,,,,,
