State,Year,Period,Supply_7
AK,2012,M01,100
AK,2012,M02,100
AK,2012,M03,100
AK,2012,M04,100
AK,2012,M05,100
AK,2012,M06,100
AK,2012,M07,100
AK,2012,M08,100
AK,2012,M09,100
AK,2012,M10,100
AK,2012,M11,100
AK,2012,M12,100
AK,2013,M01,93.577
AK,2013,M02,93.577
AK,2013,M03,93.577
AK,2013,M04,93.577
AK,2013,M05,93.577
AK,2013,M06,93.577
AK,2013,M07,93.577
AK,2013,M08,93.577
AK,2013,M09,93.577
AK,2013,M10,93.577
AK,2013,M11,93.577
AK,2013,M12,93.577
AK,2014,M01,93.755
AK,2014,M02,93.755
AK,2014,M03,93.755
AK,2014,M04,93.755
AK,2014,M05,93.755
AK,2014,M06,93.755
AK,2014,M07,93.755
AK,2014,M08,93.755
AK,2014,M09,93.755
AK,2014,M10,93.755
AK,2014,M11,93.755
AK,2014,M12,93.755
AK,2015,M01,95.518
AK,2015,M02,95.518
AK,2015,M03,95.518
AK,2015,M04,95.518
AK,2015,M05,95.518
AK,2015,M06,95.518
AK,2015,M07,95.518
AK,2015,M08,95.518
AK,2015,M09,95.518
AK,2015,M10,95.518
AK,2015,M11,95.518
AK,2015,M12,95.518
AK,2016,M01,96.501
AK,2016,M02,96.501
AK,2016,M03,96.501
AK,2016,M04,96.501
AK,2016,M05,96.501
AK,2016,M06,96.501
AK,2016,M07,96.501
AK,2016,M08,96.501
AK,2016,M09,96.501
AK,2016,M10,96.501
AK,2016,M11,96.501
AK,2016,M12,96.501
AK,2017,M01,97.186
AK,2017,M02,97.186
AK,2017,M03,97.186
AK,2017,M04,97.186
AK,2017,M05,97.186
AK,2017,M06,97.186
AK,2017,M07,97.186
AK,2017,M08,97.186
AK,2017,M09,97.186
AK,2017,M10,97.186
AK,2017,M11,97.186
AK,2017,M12,97.186
AK,2018,M01,93.525
AK,2018,M02,93.525
AK,2018,M03,93.525
AK,2018,M04,93.525
AK,2018,M05,93.525
AK,2018,M06,93.525
AK,2018,M07,93.525
AK,2018,M08,93.525
AK,2018,M09,93.525
AK,2018,M10,93.525
AK,2018,M11,93.525
AK,2018,M12,93.525
AK,2019,M01,91.484
AK,2019,M02,91.484
AK,2019,M03,91.484
AK,2019,M04,91.484
AK,2019,M05,91.484
AK,2019,M06,91.484
AK,2019,M07,91.484
AK,2019,M08,91.484
AK,2019,M09,91.484
AK,2019,M10,91.484
AK,2019,M11,91.484
AK,2019,M12,91.484
AK,2020,M01,94.513
AK,2020,M02,94.513
AK,2020,M03,94.513
AK,2020,M04,94.513
AK,2020,M05,94.513
AK,2020,M06,94.513
AK,2020,M07,94.513
AK,2020,M08,94.513
AK,2020,M09,94.513
AK,2020,M10,94.513
AK,2020,M11,94.513
AK,2020,M12,94.513
AK,2021,M01,91.683
AK,2021,M02,91.683
AK,2021,M03,91.683
AK,2021,M04,91.683
AK,2021,M05,91.683
AK,2021,M06,91.683
AK,2021,M07,91.683
AK,2021,M08,91.683
AK,2021,M09,91.683
AK,2021,M10,91.683
AK,2021,M11,91.683
AK,2021,M12,91.683
AK,2022,M01,NA
AK,2022,M02,NA
AK,2022,M03,NA
AK,2022,M04,NA
AK,2022,M05,NA
AK,2022,M06,NA
AK,2022,M07,NA
AK,2022,M08,NA
AK,2022,M09,NA
AK,2022,M10,NA
AK,2022,M11,NA
AK,2022,M12,NA
AL,2012,M01,100
AL,2012,M02,100
AL,2012,M03,100
AL,2012,M04,100
AL,2012,M05,100
AL,2012,M06,100
AL,2012,M07,100
AL,2012,M08,100
AL,2012,M09,100
AL,2012,M10,100
AL,2012,M11,100
AL,2012,M12,100
AL,2013,M01,99.494
AL,2013,M02,99.494
AL,2013,M03,99.494
AL,2013,M04,99.494
AL,2013,M05,99.494
AL,2013,M06,99.494
AL,2013,M07,99.494
AL,2013,M08,99.494
AL,2013,M09,99.494
AL,2013,M10,99.494
AL,2013,M11,99.494
AL,2013,M12,99.494
AL,2014,M01,100.082
AL,2014,M02,100.082
AL,2014,M03,100.082
AL,2014,M04,100.082
AL,2014,M05,100.082
AL,2014,M06,100.082
AL,2014,M07,100.082
AL,2014,M08,100.082
AL,2014,M09,100.082
AL,2014,M10,100.082
AL,2014,M11,100.082
AL,2014,M12,100.082
AL,2015,M01,99.032
AL,2015,M02,99.032
AL,2015,M03,99.032
AL,2015,M04,99.032
AL,2015,M05,99.032
AL,2015,M06,99.032
AL,2015,M07,99.032
AL,2015,M08,99.032
AL,2015,M09,99.032
AL,2015,M10,99.032
AL,2015,M11,99.032
AL,2015,M12,99.032
AL,2016,M01,98.839
AL,2016,M02,98.839
AL,2016,M03,98.839
AL,2016,M04,98.839
AL,2016,M05,98.839
AL,2016,M06,98.839
AL,2016,M07,98.839
AL,2016,M08,98.839
AL,2016,M09,98.839
AL,2016,M10,98.839
AL,2016,M11,98.839
AL,2016,M12,98.839
AL,2017,M01,100.282
AL,2017,M02,100.282
AL,2017,M03,100.282
AL,2017,M04,100.282
AL,2017,M05,100.282
AL,2017,M06,100.282
AL,2017,M07,100.282
AL,2017,M08,100.282
AL,2017,M09,100.282
AL,2017,M10,100.282
AL,2017,M11,100.282
AL,2017,M12,100.282
AL,2018,M01,100.965
AL,2018,M02,100.965
AL,2018,M03,100.965
AL,2018,M04,100.965
AL,2018,M05,100.965
AL,2018,M06,100.965
AL,2018,M07,100.965
AL,2018,M08,100.965
AL,2018,M09,100.965
AL,2018,M10,100.965
AL,2018,M11,100.965
AL,2018,M12,100.965
AL,2019,M01,101.81
AL,2019,M02,101.81
AL,2019,M03,101.81
AL,2019,M04,101.81
AL,2019,M05,101.81
AL,2019,M06,101.81
AL,2019,M07,101.81
AL,2019,M08,101.81
AL,2019,M09,101.81
AL,2019,M10,101.81
AL,2019,M11,101.81
AL,2019,M12,101.81
AL,2020,M01,102.247
AL,2020,M02,102.247
AL,2020,M03,102.247
AL,2020,M04,102.247
AL,2020,M05,102.247
AL,2020,M06,102.247
AL,2020,M07,102.247
AL,2020,M08,102.247
AL,2020,M09,102.247
AL,2020,M10,102.247
AL,2020,M11,102.247
AL,2020,M12,102.247
AL,2021,M01,103.748
AL,2021,M02,103.748
AL,2021,M03,103.748
AL,2021,M04,103.748
AL,2021,M05,103.748
AL,2021,M06,103.748
AL,2021,M07,103.748
AL,2021,M08,103.748
AL,2021,M09,103.748
AL,2021,M10,103.748
AL,2021,M11,103.748
AL,2021,M12,103.748
AL,2022,M01,NA
AL,2022,M02,NA
AL,2022,M03,NA
AL,2022,M04,NA
AL,2022,M05,NA
AL,2022,M06,NA
AL,2022,M07,NA
AL,2022,M08,NA
AL,2022,M09,NA
AL,2022,M10,NA
AL,2022,M11,NA
AL,2022,M12,NA
AR,2012,M01,100
AR,2012,M02,100
AR,2012,M03,100
AR,2012,M04,100
AR,2012,M05,100
AR,2012,M06,100
AR,2012,M07,100
AR,2012,M08,100
AR,2012,M09,100
AR,2012,M10,100
AR,2012,M11,100
AR,2012,M12,100
AR,2013,M01,102.583
AR,2013,M02,102.583
AR,2013,M03,102.583
AR,2013,M04,102.583
AR,2013,M05,102.583
AR,2013,M06,102.583
AR,2013,M07,102.583
AR,2013,M08,102.583
AR,2013,M09,102.583
AR,2013,M10,102.583
AR,2013,M11,102.583
AR,2013,M12,102.583
AR,2014,M01,103.554
AR,2014,M02,103.554
AR,2014,M03,103.554
AR,2014,M04,103.554
AR,2014,M05,103.554
AR,2014,M06,103.554
AR,2014,M07,103.554
AR,2014,M08,103.554
AR,2014,M09,103.554
AR,2014,M10,103.554
AR,2014,M11,103.554
AR,2014,M12,103.554
AR,2015,M01,102.651
AR,2015,M02,102.651
AR,2015,M03,102.651
AR,2015,M04,102.651
AR,2015,M05,102.651
AR,2015,M06,102.651
AR,2015,M07,102.651
AR,2015,M08,102.651
AR,2015,M09,102.651
AR,2015,M10,102.651
AR,2015,M11,102.651
AR,2015,M12,102.651
AR,2016,M01,101.932
AR,2016,M02,101.932
AR,2016,M03,101.932
AR,2016,M04,101.932
AR,2016,M05,101.932
AR,2016,M06,101.932
AR,2016,M07,101.932
AR,2016,M08,101.932
AR,2016,M09,101.932
AR,2016,M10,101.932
AR,2016,M11,101.932
AR,2016,M12,101.932
AR,2017,M01,99.819
AR,2017,M02,99.819
AR,2017,M03,99.819
AR,2017,M04,99.819
AR,2017,M05,99.819
AR,2017,M06,99.819
AR,2017,M07,99.819
AR,2017,M08,99.819
AR,2017,M09,99.819
AR,2017,M10,99.819
AR,2017,M11,99.819
AR,2017,M12,99.819
AR,2018,M01,100.326
AR,2018,M02,100.326
AR,2018,M03,100.326
AR,2018,M04,100.326
AR,2018,M05,100.326
AR,2018,M06,100.326
AR,2018,M07,100.326
AR,2018,M08,100.326
AR,2018,M09,100.326
AR,2018,M10,100.326
AR,2018,M11,100.326
AR,2018,M12,100.326
AR,2019,M01,101.068
AR,2019,M02,101.068
AR,2019,M03,101.068
AR,2019,M04,101.068
AR,2019,M05,101.068
AR,2019,M06,101.068
AR,2019,M07,101.068
AR,2019,M08,101.068
AR,2019,M09,101.068
AR,2019,M10,101.068
AR,2019,M11,101.068
AR,2019,M12,101.068
AR,2020,M01,103.715
AR,2020,M02,103.715
AR,2020,M03,103.715
AR,2020,M04,103.715
AR,2020,M05,103.715
AR,2020,M06,103.715
AR,2020,M07,103.715
AR,2020,M08,103.715
AR,2020,M09,103.715
AR,2020,M10,103.715
AR,2020,M11,103.715
AR,2020,M12,103.715
AR,2021,M01,103.754
AR,2021,M02,103.754
AR,2021,M03,103.754
AR,2021,M04,103.754
AR,2021,M05,103.754
AR,2021,M06,103.754
AR,2021,M07,103.754
AR,2021,M08,103.754
AR,2021,M09,103.754
AR,2021,M10,103.754
AR,2021,M11,103.754
AR,2021,M12,103.754
AR,2022,M01,NA
AR,2022,M02,NA
AR,2022,M03,NA
AR,2022,M04,NA
AR,2022,M05,NA
AR,2022,M06,NA
AR,2022,M07,NA
AR,2022,M08,NA
AR,2022,M09,NA
AR,2022,M10,NA
AR,2022,M11,NA
AR,2022,M12,NA
AZ,2012,M01,100
AZ,2012,M02,100
AZ,2012,M03,100
AZ,2012,M04,100
AZ,2012,M05,100
AZ,2012,M06,100
AZ,2012,M07,100
AZ,2012,M08,100
AZ,2012,M09,100
AZ,2012,M10,100
AZ,2012,M11,100
AZ,2012,M12,100
AZ,2013,M01,98.627
AZ,2013,M02,98.627
AZ,2013,M03,98.627
AZ,2013,M04,98.627
AZ,2013,M05,98.627
AZ,2013,M06,98.627
AZ,2013,M07,98.627
AZ,2013,M08,98.627
AZ,2013,M09,98.627
AZ,2013,M10,98.627
AZ,2013,M11,98.627
AZ,2013,M12,98.627
AZ,2014,M01,99.507
AZ,2014,M02,99.507
AZ,2014,M03,99.507
AZ,2014,M04,99.507
AZ,2014,M05,99.507
AZ,2014,M06,99.507
AZ,2014,M07,99.507
AZ,2014,M08,99.507
AZ,2014,M09,99.507
AZ,2014,M10,99.507
AZ,2014,M11,99.507
AZ,2014,M12,99.507
AZ,2015,M01,98.159
AZ,2015,M02,98.159
AZ,2015,M03,98.159
AZ,2015,M04,98.159
AZ,2015,M05,98.159
AZ,2015,M06,98.159
AZ,2015,M07,98.159
AZ,2015,M08,98.159
AZ,2015,M09,98.159
AZ,2015,M10,98.159
AZ,2015,M11,98.159
AZ,2015,M12,98.159
AZ,2016,M01,99.867
AZ,2016,M02,99.867
AZ,2016,M03,99.867
AZ,2016,M04,99.867
AZ,2016,M05,99.867
AZ,2016,M06,99.867
AZ,2016,M07,99.867
AZ,2016,M08,99.867
AZ,2016,M09,99.867
AZ,2016,M10,99.867
AZ,2016,M11,99.867
AZ,2016,M12,99.867
AZ,2017,M01,100.427
AZ,2017,M02,100.427
AZ,2017,M03,100.427
AZ,2017,M04,100.427
AZ,2017,M05,100.427
AZ,2017,M06,100.427
AZ,2017,M07,100.427
AZ,2017,M08,100.427
AZ,2017,M09,100.427
AZ,2017,M10,100.427
AZ,2017,M11,100.427
AZ,2017,M12,100.427
AZ,2018,M01,101.151
AZ,2018,M02,101.151
AZ,2018,M03,101.151
AZ,2018,M04,101.151
AZ,2018,M05,101.151
AZ,2018,M06,101.151
AZ,2018,M07,101.151
AZ,2018,M08,101.151
AZ,2018,M09,101.151
AZ,2018,M10,101.151
AZ,2018,M11,101.151
AZ,2018,M12,101.151
AZ,2019,M01,102.817
AZ,2019,M02,102.817
AZ,2019,M03,102.817
AZ,2019,M04,102.817
AZ,2019,M05,102.817
AZ,2019,M06,102.817
AZ,2019,M07,102.817
AZ,2019,M08,102.817
AZ,2019,M09,102.817
AZ,2019,M10,102.817
AZ,2019,M11,102.817
AZ,2019,M12,102.817
AZ,2020,M01,103.853
AZ,2020,M02,103.853
AZ,2020,M03,103.853
AZ,2020,M04,103.853
AZ,2020,M05,103.853
AZ,2020,M06,103.853
AZ,2020,M07,103.853
AZ,2020,M08,103.853
AZ,2020,M09,103.853
AZ,2020,M10,103.853
AZ,2020,M11,103.853
AZ,2020,M12,103.853
AZ,2021,M01,106.931
AZ,2021,M02,106.931
AZ,2021,M03,106.931
AZ,2021,M04,106.931
AZ,2021,M05,106.931
AZ,2021,M06,106.931
AZ,2021,M07,106.931
AZ,2021,M08,106.931
AZ,2021,M09,106.931
AZ,2021,M10,106.931
AZ,2021,M11,106.931
AZ,2021,M12,106.931
AZ,2022,M01,NA
AZ,2022,M02,NA
AZ,2022,M03,NA
AZ,2022,M04,NA
AZ,2022,M05,NA
AZ,2022,M06,NA
AZ,2022,M07,NA
AZ,2022,M08,NA
AZ,2022,M09,NA
AZ,2022,M10,NA
AZ,2022,M11,NA
AZ,2022,M12,NA
CA,2012,M01,100
CA,2012,M02,100
CA,2012,M03,100
CA,2012,M04,100
CA,2012,M05,100
CA,2012,M06,100
CA,2012,M07,100
CA,2012,M08,100
CA,2012,M09,100
CA,2012,M10,100
CA,2012,M11,100
CA,2012,M12,100
CA,2013,M01,100.134
CA,2013,M02,100.134
CA,2013,M03,100.134
CA,2013,M04,100.134
CA,2013,M05,100.134
CA,2013,M06,100.134
CA,2013,M07,100.134
CA,2013,M08,100.134
CA,2013,M09,100.134
CA,2013,M10,100.134
CA,2013,M11,100.134
CA,2013,M12,100.134
CA,2014,M01,101.058
CA,2014,M02,101.058
CA,2014,M03,101.058
CA,2014,M04,101.058
CA,2014,M05,101.058
CA,2014,M06,101.058
CA,2014,M07,101.058
CA,2014,M08,101.058
CA,2014,M09,101.058
CA,2014,M10,101.058
CA,2014,M11,101.058
CA,2014,M12,101.058
CA,2015,M01,103.218
CA,2015,M02,103.218
CA,2015,M03,103.218
CA,2015,M04,103.218
CA,2015,M05,103.218
CA,2015,M06,103.218
CA,2015,M07,103.218
CA,2015,M08,103.218
CA,2015,M09,103.218
CA,2015,M10,103.218
CA,2015,M11,103.218
CA,2015,M12,103.218
CA,2016,M01,104.136
CA,2016,M02,104.136
CA,2016,M03,104.136
CA,2016,M04,104.136
CA,2016,M05,104.136
CA,2016,M06,104.136
CA,2016,M07,104.136
CA,2016,M08,104.136
CA,2016,M09,104.136
CA,2016,M10,104.136
CA,2016,M11,104.136
CA,2016,M12,104.136
CA,2017,M01,107.675
CA,2017,M02,107.675
CA,2017,M03,107.675
CA,2017,M04,107.675
CA,2017,M05,107.675
CA,2017,M06,107.675
CA,2017,M07,107.675
CA,2017,M08,107.675
CA,2017,M09,107.675
CA,2017,M10,107.675
CA,2017,M11,107.675
CA,2017,M12,107.675
CA,2018,M01,109.961
CA,2018,M02,109.961
CA,2018,M03,109.961
CA,2018,M04,109.961
CA,2018,M05,109.961
CA,2018,M06,109.961
CA,2018,M07,109.961
CA,2018,M08,109.961
CA,2018,M09,109.961
CA,2018,M10,109.961
CA,2018,M11,109.961
CA,2018,M12,109.961
CA,2019,M01,114.943
CA,2019,M02,114.943
CA,2019,M03,114.943
CA,2019,M04,114.943
CA,2019,M05,114.943
CA,2019,M06,114.943
CA,2019,M07,114.943
CA,2019,M08,114.943
CA,2019,M09,114.943
CA,2019,M10,114.943
CA,2019,M11,114.943
CA,2019,M12,114.943
CA,2020,M01,121.868
CA,2020,M02,121.868
CA,2020,M03,121.868
CA,2020,M04,121.868
CA,2020,M05,121.868
CA,2020,M06,121.868
CA,2020,M07,121.868
CA,2020,M08,121.868
CA,2020,M09,121.868
CA,2020,M10,121.868
CA,2020,M11,121.868
CA,2020,M12,121.868
CA,2021,M01,127.033
CA,2021,M02,127.033
CA,2021,M03,127.033
CA,2021,M04,127.033
CA,2021,M05,127.033
CA,2021,M06,127.033
CA,2021,M07,127.033
CA,2021,M08,127.033
CA,2021,M09,127.033
CA,2021,M10,127.033
CA,2021,M11,127.033
CA,2021,M12,127.033
CA,2022,M01,NA
CA,2022,M02,NA
CA,2022,M03,NA
CA,2022,M04,NA
CA,2022,M05,NA
CA,2022,M06,NA
CA,2022,M07,NA
CA,2022,M08,NA
CA,2022,M09,NA
CA,2022,M10,NA
CA,2022,M11,NA
CA,2022,M12,NA
CO,2012,M01,100
CO,2012,M02,100
CO,2012,M03,100
CO,2012,M04,100
CO,2012,M05,100
CO,2012,M06,100
CO,2012,M07,100
CO,2012,M08,100
CO,2012,M09,100
CO,2012,M10,100
CO,2012,M11,100
CO,2012,M12,100
CO,2013,M01,101.697
CO,2013,M02,101.697
CO,2013,M03,101.697
CO,2013,M04,101.697
CO,2013,M05,101.697
CO,2013,M06,101.697
CO,2013,M07,101.697
CO,2013,M08,101.697
CO,2013,M09,101.697
CO,2013,M10,101.697
CO,2013,M11,101.697
CO,2013,M12,101.697
CO,2014,M01,104.357
CO,2014,M02,104.357
CO,2014,M03,104.357
CO,2014,M04,104.357
CO,2014,M05,104.357
CO,2014,M06,104.357
CO,2014,M07,104.357
CO,2014,M08,104.357
CO,2014,M09,104.357
CO,2014,M10,104.357
CO,2014,M11,104.357
CO,2014,M12,104.357
CO,2015,M01,107.964
CO,2015,M02,107.964
CO,2015,M03,107.964
CO,2015,M04,107.964
CO,2015,M05,107.964
CO,2015,M06,107.964
CO,2015,M07,107.964
CO,2015,M08,107.964
CO,2015,M09,107.964
CO,2015,M10,107.964
CO,2015,M11,107.964
CO,2015,M12,107.964
CO,2016,M01,108.474
CO,2016,M02,108.474
CO,2016,M03,108.474
CO,2016,M04,108.474
CO,2016,M05,108.474
CO,2016,M06,108.474
CO,2016,M07,108.474
CO,2016,M08,108.474
CO,2016,M09,108.474
CO,2016,M10,108.474
CO,2016,M11,108.474
CO,2016,M12,108.474
CO,2017,M01,110.334
CO,2017,M02,110.334
CO,2017,M03,110.334
CO,2017,M04,110.334
CO,2017,M05,110.334
CO,2017,M06,110.334
CO,2017,M07,110.334
CO,2017,M08,110.334
CO,2017,M09,110.334
CO,2017,M10,110.334
CO,2017,M11,110.334
CO,2017,M12,110.334
CO,2018,M01,110.922
CO,2018,M02,110.922
CO,2018,M03,110.922
CO,2018,M04,110.922
CO,2018,M05,110.922
CO,2018,M06,110.922
CO,2018,M07,110.922
CO,2018,M08,110.922
CO,2018,M09,110.922
CO,2018,M10,110.922
CO,2018,M11,110.922
CO,2018,M12,110.922
CO,2019,M01,115.27
CO,2019,M02,115.27
CO,2019,M03,115.27
CO,2019,M04,115.27
CO,2019,M05,115.27
CO,2019,M06,115.27
CO,2019,M07,115.27
CO,2019,M08,115.27
CO,2019,M09,115.27
CO,2019,M10,115.27
CO,2019,M11,115.27
CO,2019,M12,115.27
CO,2020,M01,117.081
CO,2020,M02,117.081
CO,2020,M03,117.081
CO,2020,M04,117.081
CO,2020,M05,117.081
CO,2020,M06,117.081
CO,2020,M07,117.081
CO,2020,M08,117.081
CO,2020,M09,117.081
CO,2020,M10,117.081
CO,2020,M11,117.081
CO,2020,M12,117.081
CO,2021,M01,118.745
CO,2021,M02,118.745
CO,2021,M03,118.745
CO,2021,M04,118.745
CO,2021,M05,118.745
CO,2021,M06,118.745
CO,2021,M07,118.745
CO,2021,M08,118.745
CO,2021,M09,118.745
CO,2021,M10,118.745
CO,2021,M11,118.745
CO,2021,M12,118.745
CO,2022,M01,NA
CO,2022,M02,NA
CO,2022,M03,NA
CO,2022,M04,NA
CO,2022,M05,NA
CO,2022,M06,NA
CO,2022,M07,NA
CO,2022,M08,NA
CO,2022,M09,NA
CO,2022,M10,NA
CO,2022,M11,NA
CO,2022,M12,NA
CT,2012,M01,100
CT,2012,M02,100
CT,2012,M03,100
CT,2012,M04,100
CT,2012,M05,100
CT,2012,M06,100
CT,2012,M07,100
CT,2012,M08,100
CT,2012,M09,100
CT,2012,M10,100
CT,2012,M11,100
CT,2012,M12,100
CT,2013,M01,99.447
CT,2013,M02,99.447
CT,2013,M03,99.447
CT,2013,M04,99.447
CT,2013,M05,99.447
CT,2013,M06,99.447
CT,2013,M07,99.447
CT,2013,M08,99.447
CT,2013,M09,99.447
CT,2013,M10,99.447
CT,2013,M11,99.447
CT,2013,M12,99.447
CT,2014,M01,97.66
CT,2014,M02,97.66
CT,2014,M03,97.66
CT,2014,M04,97.66
CT,2014,M05,97.66
CT,2014,M06,97.66
CT,2014,M07,97.66
CT,2014,M08,97.66
CT,2014,M09,97.66
CT,2014,M10,97.66
CT,2014,M11,97.66
CT,2014,M12,97.66
CT,2015,M01,100.93
CT,2015,M02,100.93
CT,2015,M03,100.93
CT,2015,M04,100.93
CT,2015,M05,100.93
CT,2015,M06,100.93
CT,2015,M07,100.93
CT,2015,M08,100.93
CT,2015,M09,100.93
CT,2015,M10,100.93
CT,2015,M11,100.93
CT,2015,M12,100.93
CT,2016,M01,99.125
CT,2016,M02,99.125
CT,2016,M03,99.125
CT,2016,M04,99.125
CT,2016,M05,99.125
CT,2016,M06,99.125
CT,2016,M07,99.125
CT,2016,M08,99.125
CT,2016,M09,99.125
CT,2016,M10,99.125
CT,2016,M11,99.125
CT,2016,M12,99.125
CT,2017,M01,103.381
CT,2017,M02,103.381
CT,2017,M03,103.381
CT,2017,M04,103.381
CT,2017,M05,103.381
CT,2017,M06,103.381
CT,2017,M07,103.381
CT,2017,M08,103.381
CT,2017,M09,103.381
CT,2017,M10,103.381
CT,2017,M11,103.381
CT,2017,M12,103.381
CT,2018,M01,103.038
CT,2018,M02,103.038
CT,2018,M03,103.038
CT,2018,M04,103.038
CT,2018,M05,103.038
CT,2018,M06,103.038
CT,2018,M07,103.038
CT,2018,M08,103.038
CT,2018,M09,103.038
CT,2018,M10,103.038
CT,2018,M11,103.038
CT,2018,M12,103.038
CT,2019,M01,105.07
CT,2019,M02,105.07
CT,2019,M03,105.07
CT,2019,M04,105.07
CT,2019,M05,105.07
CT,2019,M06,105.07
CT,2019,M07,105.07
CT,2019,M08,105.07
CT,2019,M09,105.07
CT,2019,M10,105.07
CT,2019,M11,105.07
CT,2019,M12,105.07
CT,2020,M01,103.657
CT,2020,M02,103.657
CT,2020,M03,103.657
CT,2020,M04,103.657
CT,2020,M05,103.657
CT,2020,M06,103.657
CT,2020,M07,103.657
CT,2020,M08,103.657
CT,2020,M09,103.657
CT,2020,M10,103.657
CT,2020,M11,103.657
CT,2020,M12,103.657
CT,2021,M01,105.171
CT,2021,M02,105.171
CT,2021,M03,105.171
CT,2021,M04,105.171
CT,2021,M05,105.171
CT,2021,M06,105.171
CT,2021,M07,105.171
CT,2021,M08,105.171
CT,2021,M09,105.171
CT,2021,M10,105.171
CT,2021,M11,105.171
CT,2021,M12,105.171
CT,2022,M01,NA
CT,2022,M02,NA
CT,2022,M03,NA
CT,2022,M04,NA
CT,2022,M05,NA
CT,2022,M06,NA
CT,2022,M07,NA
CT,2022,M08,NA
CT,2022,M09,NA
CT,2022,M10,NA
CT,2022,M11,NA
CT,2022,M12,NA
DE,2012,M01,100
DE,2012,M02,100
DE,2012,M03,100
DE,2012,M04,100
DE,2012,M05,100
DE,2012,M06,100
DE,2012,M07,100
DE,2012,M08,100
DE,2012,M09,100
DE,2012,M10,100
DE,2012,M11,100
DE,2012,M12,100
DE,2013,M01,94.971
DE,2013,M02,94.971
DE,2013,M03,94.971
DE,2013,M04,94.971
DE,2013,M05,94.971
DE,2013,M06,94.971
DE,2013,M07,94.971
DE,2013,M08,94.971
DE,2013,M09,94.971
DE,2013,M10,94.971
DE,2013,M11,94.971
DE,2013,M12,94.971
DE,2014,M01,101.753
DE,2014,M02,101.753
DE,2014,M03,101.753
DE,2014,M04,101.753
DE,2014,M05,101.753
DE,2014,M06,101.753
DE,2014,M07,101.753
DE,2014,M08,101.753
DE,2014,M09,101.753
DE,2014,M10,101.753
DE,2014,M11,101.753
DE,2014,M12,101.753
DE,2015,M01,102.572
DE,2015,M02,102.572
DE,2015,M03,102.572
DE,2015,M04,102.572
DE,2015,M05,102.572
DE,2015,M06,102.572
DE,2015,M07,102.572
DE,2015,M08,102.572
DE,2015,M09,102.572
DE,2015,M10,102.572
DE,2015,M11,102.572
DE,2015,M12,102.572
DE,2016,M01,93.816
DE,2016,M02,93.816
DE,2016,M03,93.816
DE,2016,M04,93.816
DE,2016,M05,93.816
DE,2016,M06,93.816
DE,2016,M07,93.816
DE,2016,M08,93.816
DE,2016,M09,93.816
DE,2016,M10,93.816
DE,2016,M11,93.816
DE,2016,M12,93.816
DE,2017,M01,90.096
DE,2017,M02,90.096
DE,2017,M03,90.096
DE,2017,M04,90.096
DE,2017,M05,90.096
DE,2017,M06,90.096
DE,2017,M07,90.096
DE,2017,M08,90.096
DE,2017,M09,90.096
DE,2017,M10,90.096
DE,2017,M11,90.096
DE,2017,M12,90.096
DE,2018,M01,89.669
DE,2018,M02,89.669
DE,2018,M03,89.669
DE,2018,M04,89.669
DE,2018,M05,89.669
DE,2018,M06,89.669
DE,2018,M07,89.669
DE,2018,M08,89.669
DE,2018,M09,89.669
DE,2018,M10,89.669
DE,2018,M11,89.669
DE,2018,M12,89.669
DE,2019,M01,93.508
DE,2019,M02,93.508
DE,2019,M03,93.508
DE,2019,M04,93.508
DE,2019,M05,93.508
DE,2019,M06,93.508
DE,2019,M07,93.508
DE,2019,M08,93.508
DE,2019,M09,93.508
DE,2019,M10,93.508
DE,2019,M11,93.508
DE,2019,M12,93.508
DE,2020,M01,98.485
DE,2020,M02,98.485
DE,2020,M03,98.485
DE,2020,M04,98.485
DE,2020,M05,98.485
DE,2020,M06,98.485
DE,2020,M07,98.485
DE,2020,M08,98.485
DE,2020,M09,98.485
DE,2020,M10,98.485
DE,2020,M11,98.485
DE,2020,M12,98.485
DE,2021,M01,97.804
DE,2021,M02,97.804
DE,2021,M03,97.804
DE,2021,M04,97.804
DE,2021,M05,97.804
DE,2021,M06,97.804
DE,2021,M07,97.804
DE,2021,M08,97.804
DE,2021,M09,97.804
DE,2021,M10,97.804
DE,2021,M11,97.804
DE,2021,M12,97.804
DE,2022,M01,NA
DE,2022,M02,NA
DE,2022,M03,NA
DE,2022,M04,NA
DE,2022,M05,NA
DE,2022,M06,NA
DE,2022,M07,NA
DE,2022,M08,NA
DE,2022,M09,NA
DE,2022,M10,NA
DE,2022,M11,NA
DE,2022,M12,NA
FL,2012,M01,100
FL,2012,M02,100
FL,2012,M03,100
FL,2012,M04,100
FL,2012,M05,100
FL,2012,M06,100
FL,2012,M07,100
FL,2012,M08,100
FL,2012,M09,100
FL,2012,M10,100
FL,2012,M11,100
FL,2012,M12,100
FL,2013,M01,98.706
FL,2013,M02,98.706
FL,2013,M03,98.706
FL,2013,M04,98.706
FL,2013,M05,98.706
FL,2013,M06,98.706
FL,2013,M07,98.706
FL,2013,M08,98.706
FL,2013,M09,98.706
FL,2013,M10,98.706
FL,2013,M11,98.706
FL,2013,M12,98.706
FL,2014,M01,98.619
FL,2014,M02,98.619
FL,2014,M03,98.619
FL,2014,M04,98.619
FL,2014,M05,98.619
FL,2014,M06,98.619
FL,2014,M07,98.619
FL,2014,M08,98.619
FL,2014,M09,98.619
